Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Quán Vịt Nướng Lá Mắc Mật - Phan Anh,_._,"262 Phan Anh, P. Hiệp Tân,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-vit-nuong-la-mac-mat-phan-anh
Quán Huyền - Gà Nướng Vịt Nướng - Tân Quý,_._,"62 Tân Quý, P. Tân Quý,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-huyen-ga-nuong-vit-nuong-tan-quy
Hột Vịt Lộn - Trứng Cút Lộn & Gỏi Cuốn 184,_._,"184 Gò Dầu, P. Tân Quý,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hot-vit-lon-trung-cut-lon-goi-cuon-184
Dì Năm 3 - Cháo Vịt,_._,"80 Hoàng Xuân Nhị,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/di-nam-3-chao-vit
Vịt Cỏ Miền Trung - Gỏi Vịt & Vịt Nướng Chao,_._,"206 Lê Thúc Hoạch, P. Tân Quý,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-co-mien-trung-goi-vit-vit-nuong-chao
Cháo Vịt Thu An,_._,"100 Luỹ Bán Bích, P. Tân Thới Hoà,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-vit-thu-an
Vịt Quay Ba Huy,_._,"531 Âu Cơ, P. Phú Trung,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-quay-ba-huy
Cà Ri Gà Vịt,_._,"Trịnh Đình Trọng,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ca-ri-ga-vit
Cháo Vịt & Gỏi Vịt - Tân Kỳ Tân Quý,_._,"448 Tân Kỳ Tân Quý, P. Sơn Kỳ,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-vit-goi-vit-tan-ky-tan-quy.oouehc
Quán Bún Vịt 425 - Âu Cơ,_._,"425 Âu Cơ, P. Phú Trung,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-bun-vit-425-au-co
