Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Cơm Gà Xối Mỡ 939,_._,"1151 Tỉnh Lộ 43, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-939
Cơm Chiên Gà Xối Mỡ 139,_._,"139 Hiệp Bình,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-chien-ga-xoi-mo-139
Cơm Gà Xối Mỡ A Bắc - Đường Số 48,_._,"61/21 Đường Số 48, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-a-bac-duong-so-48
Quán Mẹ TiMon - Cơm Xôi,_._,"62 Đường B, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-me-timon-com-xoi
Tấn Tài - Cơm Gà Xối Mỡ - Đường Số 2,_._,"130/1 Đường Số 2, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/tan-tai-com-ga-xoi-mo-duong-so-2
Minh Thư 6 - Cơm Gà Xối Mỡ,_._,"37 Đường Số 36,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/minh-thu-6-com-ga-xoi-mo
Minh Thư 2 - Cơm Gà Xối Mỡ,_._,"90 Đường Số 9, P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/minh-thu-2-com-ga-xoi-mo
Quán Ra Đô - Cơm Gà Xối Mỡ,_._,"93 Linh Đông,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-ra-do-com-ga-xoi-mo
"Nha Trang Quán - Cơm Gà Xối Mỡ, Nem Phần & Bún Chả Cá",_._,"14 Đường Số 30, P. Linh Đông,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/nha-trang-quan-com-ga-xoi-mo-nem-phan-bun-cha-ca
"Cơm Chiên Gà Xối Mỡ, Bò Kho & Bún Bò",_._,"1 Nguyễn Văn Bá, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-chien-ga-xoi-mo-bo-kho-bun-bo
