Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Cỏ Thơm Salon & Cafe - Đường Số 24,8.0,"19 Đường Số 24, P. 11,Quận 6,TP. HCM",7,https://www.foody.vn/ho-chi-minh/co-thom-salon-cafe-duong-so-24
Bánh Bột Lọc Miền Trung - Shop Online,_._,"29 Bình Phú, P. 10,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-bot-loc-mien-trung-shop-online
TiBi - Bánh Mì Thịt & Hamburger,_._,"238 Gia Phú, P. 1,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/tibi-banh-mi-thit
Quốc Kỳ - Bánh Mì Hà Nội,_._,"97A Minh Phụng, P. 9,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quoc-ky-banh-mi-ha-noi
Bánh Mì Du Mục - An Dương Vương,7.0,"502 An Dương Vương, P. 10,Quận 6,TP. HCM",4,https://www.foody.vn/ho-chi-minh/banh-mi-du-muc-an-duong-vuong
Cơm Gà Hương Dinh,7.6,"16 Hậu Giang, P. 2,Quận 6,TP. HCM",6,https://www.foody.vn/ho-chi-minh/huong-dinh
Chi Dao Bao - Dimsum,8.1,"97 - 99 Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",22,https://www.foody.vn/ho-chi-minh/chi-dao-bao-dimsum
Lâm Ký - Cơm Gà Sốt Tỏi,8.7,"751/27E Hồng Bàng, P. 6,Quận 6,TP. HCM",4,https://www.foody.vn/ho-chi-minh/com-ga-sot-toi-lam-ky
Du Mục Số 1 - Bánh Mì Bình Dân,8.6,"131 Bà Hom, P. 13,Quận 6,TP. HCM",5,https://www.foody.vn/ho-chi-minh/du-muc-so-1-banh-mi-binh-dan
Mì Trộn Thái Phiên - Nguyễn Văn Luông,6.8,"361/2 Nguyễn Văn Luông, P. 12,Quận 6,TP. HCM",17,https://www.foody.vn/ho-chi-minh/mi-tron-thai-phien-nguyen-van-luong
"Lòng, Da & Phao Câu Gà Chiên Giòn - Tân Hòa Đông",_._,"112B Tân Hòa Đông, P. 14,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/long-da-phao-cau-ga-chien-gion-tan-hoa-dong
Quán Ăn Toàn Ký,8.1,"9 Văn Thân, P. 8,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/quan-com-toan-ky
Chị Dung - Vú Heo Tép Mỡ Nướng,2.0,"199 Lê Quang Sung,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/chi-dung-vu-heo-tep-mo-nuong
Quán Ăn Gia Đình Đương Phong,_._,"110 Văn Thân, P. 8,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-gia-dinh-duong-phong
Quán E58 - Cơm Chiên Dương Châu & Hủ Tiếu Xào,_._,"E58 Cư Xá Phú Lâm B, P. 13,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-e58-com-chien-duong-chau-hu-tieu-xao
