Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Quán Vịt Chiên Thảo Quả - Trần Văn Đang,_._,"Hẻm 159 Trần Văn Đang, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-vit-chien-thao-qua-tran-van-dang
Đăng Khoa Market - Gà Vịt Tươi & Rau Củ Quả - Hoàng Sa,_._,"951 Hoàng Sa, P.11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/dang-khoa-market-ga-vit-tuoi-rau-cu-qua-hoang-sa
Hồng Ký Mì Gia - Mì Vịt Tiềm - Bếp Đám Mây Hoàng Sa - Siêu Deal,_._,"947 Hoàng Sa, P. 11,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hong-ky-mi-gia-mi-vit-tiem-bep-dam-may-hoang-sa-sieu-deal
"Chị Hiền - Cháo, Bún Miến Măng & Bún Mắm",_._,"Kiot 2, Đường Số 30, P. 6,Quận Gò Vấp,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chi-hien-chao-bun-mien-mang-bun-mam
Heo Quay Hồng Phượng,_._,"60D Cao Thắng,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/heo-quay-hong-phuong
Hệ thống Lan Ốc,6.6,"2chi nhánh,2",6,https://www.foody.vn/thuong-hieu/lan-oc?c=ho-chi-minh
Cơm Nhân - Nguyễn Thượng Hiền,_._,"66 Nguyễn Thượng Hiền, P. 5,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-nhan-nguyen-thuong-hien
Gà Tiềm Đại Dương - Ẩm Thực Trung Hoa,7.5,"14 Cao Thắng,Quận 3,TP. HCM",69,https://www.foody.vn/ho-chi-minh/ga-tiem-dai-duong-am-thuc-trung-hoa
Cô Nga - Cơm Tấm & Hủ Tiếu,_._,"Hẻm 565 Hoàng Sa, P. 7,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-nga-com-tam-hu-tieu
Chị Chi - Cháo Trắng,_._,"430 Cách Mạng Tháng 8,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chi-chi-chao-trang
Gen Dining - Nhà Hàng Âu Á,5.0,"140 Lý Chính Thắng, P. 7,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/gen-dining-nha-hang-au-a
Quán Cơm Bình Dân - Phạm Đình Toái,_._,"1 Phạm Đình Toái, P. 6,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-com-binh-dan-pham-dinh-toai
Ốc Tin,8.2,"436/26 Cách Mạng Tháng 8,Quận 3,TP. HCM",5,https://www.foody.vn/ho-chi-minh/oc-tin
Nhà Hàng Ẩm Thực Quê Nhà - Phạm Ngọc Thạch,4.9,"28 Phạm Ngọc Thạch, P. 6,Quận 3,TP. HCM",20,https://www.foody.vn/ho-chi-minh/nha-hang-am-thuc-que-nha-pham-ngoc-thach
Cơm Tấm 575,_._,"575/5 Nguyễn Đình Chiểu,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-tam-575
Bún Riêu - Lê Văn Sỹ,_._,"351/67 Lê Văn Sỹ,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-rieu-le-van-sy
Ốc Gành Son,8.6,"187 Nguyễn Phúc Nguyên, P. 10,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/oc-ganh-son
Quán Lý Sơn - Lẩu & Nướng - Trường Sa,3.4,"966 Trường Sa, P. 13,Quận 3,TP. HCM",7,https://www.foody.vn/ho-chi-minh/quan-ly-son-lau-nuong-hai-san-tuoi-song
Nhà Hàng Hội An Garden,8.2,"72/1 Trần Quốc Toản, P. 8,Quận 3,TP. HCM",25,https://www.foody.vn/ho-chi-minh/nha-hang-hoi-an-garden
The Street - BBQ & Beer - Pasteur,6.9,"260A Pasteur,Quận 3,TP. HCM",41,https://www.foody.vn/ho-chi-minh/the-street-bbq-beer-pasteur
Cơm Gà Hải Nam & Xối Mỡ - Cao Thắng,5.9,"92C Cao Thắng, P. 4,Quận 3,TP. HCM",57,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-cao-thang
Heo Quay Bonu,7.3,"100 Nguyễn Thị Minh Khai, P.6,Quận 3,TP. HCM",3,https://www.foody.vn/ho-chi-minh/heo-quay-bonu
